Hometown,count
"Melbourne, Australia",6
"Las Vegas, NV",5
"Stockholm, Sweden",3
"Auckland, New Zealand",3
"Eugene, OR",3
"Boise, ID",3
"Happy Valley, OR",3
"Belgrade, Serbia",2
"Norman, OK",2
"Seattle, WA",2
"Portland, OR",2
"Keller, TX",2
"Barcelona, Spain",2
"Baiona, Spain",1
"Brisbane, Australia",1
"O Porrino, Spain",1
"Garden Grove, Calif.",1
"University Place, WA",1
"Regina, Saskatchewan, Canada",1
"Olot, Spain",1
"Columbus, MS",1
"Poprad, Slovakia",1
"Cork, Ireland",1
"South San Francisco, Calif.",1
"Abuja, Nigeria",1
"Houston, TX",1
"Denver, CO",1
"Zrenjanin, Serbia",1
"Sacramento, CA",1
"Cologne, Germany",1
"Naples, Italy",1
"Richmond, Canada",1
"Folsom, CA",1
"El Dorado Hills, CA",1
"Colorado Springs, CO",1
"Burlingame, CA",1
"Detroit, MI",1
"San Bruno, CA",1
"East Palo Alto, CA",1
"Palatine, IL",1
"Mataro, Spain",1
"Taipei, Taiwan",1
"Rio Colorado, Argentina",1
"Eastvale, CA",1
"North Vancouver, British Columbia, Canada",1
"Grand Prairie, TX",1
"Cottesloe, Western Australia, Australia",1
"Cleveland, OH",1
"La Crescenta, CA",1
"Kent, WA",1
"Melbourne, Victoria, Australia",1
"Erie, CO",1
"Hawthorne, CA",1
"Rocklin, CA",1
"Centralia, WA",1
"Redondo Beach, CA",1
"Vista, CA",1
"Mercer Island, WA",1
"Oslo, Norway",1
"Kelso, WA",1
"Kennewick, WA",1
"St. Andrews, Australia",1
"Pasco, Wash.",1
"Missoula, Mont.",1
"North Bend, Wash.",1
"Tallinn, Estonia",1
"Cambrai, France",1
"Ljubljana, Slovenia",1
"Paris, France",1
"Newcastle, Australia",1
"Lissone, Italy",1
"Vushtrria, Kosovo",1
"Athens, Greece",1
"Richland, WA",1
"Redding, CA",1
"Sao Paulo, Brazil",1
"Ankara, Turkey",1
"Billings, MT",1
"Balmaseda, Spain",1
"Wolfenbüttel, Germany",1
"Christchurch, New Zealand",1
"Castle Rock, CO",1
"Bucharest, Romania",1
"Perth, Australia",1
"Goodyear, AZ",1
"Toronto, Ontario, Canada",1
"Minneapolis, MN",1
"Brussels, Belgium",1
"Vigo, Spain",1
"Madrid, Spain",1
"Riverton, UT",1
"Copenhagen, Denmark",1
"Adelaide, Australia",1
"Mesa, AZ",1
"Medellin, Colombia",1
"Valencia, Spain",1
"Corbett, OR",1
"Arlington, WA",1
"Gresham, OR",1
"Renton, WA",1
"Marbach Am Neckar, Germany",1
"Sibenik, Croatia",1
"Herceg Novi, Montenegro",1
"Clackamas, OR",1
"Temecula, CA",1
"Sao Miguel, Portugal",1
"Vallejo, CA",1
"San Jose, CA",1
"Snohomish, WA",1
"Bothell, WA",1
"Tucson, AZ",1
"Long Beach, CA",1
"Aurora, CO",1
"Sammamish, WA",1
"Sydney, Australia",1
"Corona, CA",1
"Tasman, New Zealand",1
"West Adelaide, Australia",1
"South Medford, OR",1
"Redwood Valley, CA",1
"Lynnwood, WA",1
"Upland, CA",1
"St. Louis, MO",1
"Palma De Mallorca, Spain",1
"Ub, Serbia",1
"Kastel Novi, Croatia",1
"Dacula, GA",1
"Anaheim, CA",1
"Oakland, CA",1
"Amarillo, TX",1
"Canterbury, New Zealand",1
"Spokane, WA",1
"Fargo, ND",1
"Montesano, WA",1
"Pocatello, ID",1
"Tudela, Spain",1
"Columbus, OH",1
