Hometown
"Herceg Novi, Montenegro"
"Sibenik, Croatia"
"Marbach Am Neckar, Germany"
"Belgrade, Serbia"
"Melbourne, Australia"
"Valencia, Spain"
"Medellin, Colombia"
"Adelaide, Australia"
"Copenhagen, Denmark"
"Madrid, Spain"
"Melbourne, Australia"
"Sao Paulo, Brazil"
"Vigo, Spain"
"Brussels, Belgium"
"Toronto, Ontario, Canada"
"Perth, Australia"
"Bucharest, Romania"
"Christchurch, New Zealand"
"Wolfenbüttel, Germany"
"Balmaseda, Spain"
"Melbourne, Australia"
"Ankara, Turkey"
"Sao Miguel, Portugal"
"Tudela, Spain"
"Canterbury, New Zealand"
"Belgrade, Serbia"
"Stockholm, Sweden"
"Kastel Novi, Croatia"
"Ub, Serbia"
"Palma De Mallorca, Spain"
"West Adelaide, Australia"
"Tasman, New Zealand"
"Sydney, Australia"
"Melbourne, Australia"
"Melbourne, Australia"
"Newcastle, Australia"
"Athens, Greece"
"Stockholm, Sweden"
"Richmond, Canada"
"Cologne, Germany"
"Zrenjanin, Serbia"
"Abuja, Nigeria"
"Brisbane, Australia"
"Baiona, Spain"
"O Porrino, Spain"
"Regina, Saskatchewan, Canada"
"Olot, Spain"
"Auckland, New Zealand"
"Poprad, Slovakia"
"Cork, Ireland"
"Mataro, Spain"
"Naples, Italy"
"Rio Colorado, Argentina"
"Oslo, Norway"
"Vushtrria, Kosovo"
"Lissone, Italy"
"Taipei, Taiwan"
"Paris, France"
"Auckland, New Zealand"
"Ljubljana, Slovenia"
"Cambrai, France"
"Barcelona, Spain"
"Tallinn, Estonia"
"Barcelona, Spain"
"St. Andrews, Australia"
"Auckland, New Zealand"
"Stockholm, Sweden"
"Melbourne, Australia"
"Melbourne, Victoria, Australia"
"Cottesloe, Western Australia, Australia"
"North Vancouver, British Columbia, Canada"
