Name,Team,3PM,3PA,PTS
Jaila Harding,Wichita State Shockers,4,10,13
Maia Jones,Santa Clara Broncos,3,8,16
Coryn Watts,Denver Pioneers,2,8,23
Eleonora Villa,Washington State Cougars,2,8,21
Charlotte Abraham,Washington State Cougars,3,7,15
Marina Asensio,Utah State Aggies,2,7,14
Mara Neira,San Francisco Dons,3,7,19
Sierra Chambers,Southern Utah Thunderbirds,4,7,20
Maile Nakaji,Chapman Panthers,1,6,6
Lanae Billy,Weber State Wildcats,2,6,14
Kylee Fox,Santa Clara Broncos,2,6,10
Aaliyah Gayles,Utah State Aggies,2,6,12
Amanda Barcello,Utah Valley Wolverines,2,6,12
Aniya Hooker,Santa Clara Broncos,1,5,11
Ava Schmidt,Santa Clara Broncos,0,5,6
Devyn Kiernan,Southern Utah Thunderbirds,2,5,6
Kylee Mabry,Utah Valley Wolverines,2,5,10
Kira Watanabe,Chapman Panthers,1,5,3
Hannah Robbins,Weber State Wildcats,2,4,15
Maxine Sutisna,Cal State Fullerton Titans,1,4,11
Jocelyn Medina,Denver Pioneers,2,4,12
Ava Uhrich,Southern Utah Thunderbirds,2,4,26
Abby Cater,Wichita State Shockers,1,4,23
Britain Backus,Nevada Wolf Pack,2,3,8
Keiara Curtis,Hawai'i Rainbow Wahine,2,3,6
Sophia Covello,Idaho State Bengals,0,3,4
Allie Turner,Gonzaga Bulldogs,2,3,20
Kira-May Filemu,Hawai'i Rainbow Wahine,1,3,5
Malvina Haziri,Washington State Cougars,0,3,0
Kyleigh Ortiz,Wichita State Shockers,2,3,6
Cambree Blackham,Utah Valley Wolverines,0,3,8
Aina Cargol,San Francisco Dons,1,3,17
Elise Livingston,Utah State Aggies,1,3,9
Makena Nitao,Chapman Panthers,0,2,2
Halle Wright,Idaho State Bengals,0,2,4
Sydney Teoh,Chapman Panthers,0,2,3
Dylan Swindle,Cal State Fullerton Titans,1,2,9
Makenna Shaffer-Lauer,Weber State Wildcats,1,2,7
Madelynn Muniz,Cal State Fullerton Titans,1,2,5
Aidan Sherfey,Chapman Panthers,1,2,5
Paula Tirado,San Francisco Dons,1,2,11
Kortney Doman,Southern Utah Thunderbirds,0,2,3
Karolina Padilla,Denver Pioneers,1,2,3
Danijela Kujovic,Hawai'i Rainbow Wahine,1,2,4
Lauren Whittaker,Gonzaga Bulldogs,0,2,18
Halle Nelson,Utah Valley Wolverines,1,2,8
Saniyah Neverson,Hawai'i Rainbow Wahine,1,2,10
Kaylee Headrick,Utah Valley Wolverines,1,2,6
Malia Ruud,Washington State Cougars,1,2,13
Delainey Miller,Santa Clara Broncos,0,2,7
Denver Anderson,Southern Utah Thunderbirds,0,2,0
Ashley Hawkins,Santa Clara Broncos,0,2,14
Meghan McIntyre,San Francisco Dons,0,1,5
Taya Davis,Wichita State Shockers,0,1,2
Candy Edokpaigbe,San Francisco Dons,0,1,17
Sophie Benharouga,Wichita State Shockers,1,1,5
Lauren Glazier,Washington State Cougars,0,1,0
Jean Chiu,Washington State Cougars,0,1,0
Keandra Koorits,Washington State Cougars,1,1,5
Tanja Valancic,Washington State Cougars,0,1,2
Darcy McCoy,Chapman Panthers,0,1,0
Teryn Gardner,Gonzaga Bulldogs,1,1,9
Ines Bettencourt,Gonzaga Bulldogs,1,1,7
Zeryhia Aokuso,Gonzaga Bulldogs,0,1,8
Aitana Rosello Lopez,Utah State Aggies,0,1,6
Taylor Smith,Gonzaga Bulldogs,0,1,8
Diamond Richardson,Wichita State Shockers,0,1,0
Izzy Sullivan,Nevada Wolf Pack,1,1,15
Gabby Ramos,Nevada Wolf Pack,1,1,6
Maeva Gauffrenet,Idaho State Bengals,1,1,5
Ahrray Young,Nevada Wolf Pack,0,1,10
Skylar Durley,Nevada Wolf Pack,0,1,5
Alyse Aby,Idaho State Bengals,0,1,6
Laila McLeod,Denver Pioneers,0,1,0
Laia Monclova,Denver Pioneers,0,1,4
Tori Baker,Denver Pioneers,0,1,6
Tahj-Monet Bloom,Nevada Wolf Pack,0,1,2
Jade Peacock,Hawai'i Rainbow Wahine,0,1,0
Karyn Sanford,Utah State Aggies,0,1,0
Saige Gibb,Utah Valley Wolverines,1,1,7
Kyra Webb,Hawai'i Rainbow Wahine,0,1,8
Bailey Flavell,Hawai'i Rainbow Wahine,1,1,9
Teyahna Bond,Hawai'i Rainbow Wahine,0,1,6
Rebecca Moors,Hawai'i Rainbow Wahine,0,0,2
Imani Perez,Hawai'i Rainbow Wahine,0,0,2
Marta Alsina,Washington State Cougars,0,0,0
Julia Wilson,Gonzaga Bulldogs,0,0,0
Paige Lofing,Gonzaga Bulldogs,0,0,3
Chloe Williams,Nevada Wolf Pack,0,0,4
Christabel Osarobo,Gonzaga Bulldogs,0,0,2
Amelia Raidaveta,Nevada Wolf Pack,0,0,0
Imbie Jones,Nevada Wolf Pack,0,0,0
Jaiden Haile,Gonzaga Bulldogs,0,0,12
Bella Cosme,Utah State Aggies,0,0,0
Maia Rosarion,Nevada Wolf Pack,0,0,0
Natasa Tausova,San Francisco Dons,0,0,6
Naia Tanuvasa,Utah Valley Wolverines,0,0,0
Sol Castro,San Francisco Dons,0,0,4
Nevaeh Ferrara Horne,San Francisco Dons,0,0,0
Brooke Murrell,Denver Pioneers,0,0,3
Ana Conde,Denver Pioneers,0,0,6
Noelia Mourio,San Francisco Dons,0,0,6
Tyler Gildersleeve-Stiles,Santa Clara Broncos,0,0,1
Morgan Trigueiro,Southern Utah Thunderbirds,0,0,0
Teodora Simoncevic,Denver Pioneers,0,0,0
Sophie Glancey,Santa Clara Broncos,0,0,20
Lily Esparza,Denver Pioneers,0,0,0
Makayla Carter,Nevada Wolf Pack,0,0,4
Mackenzie Chatfield,Washington State Cougars,0,0,2
Kendra Hicks,Nevada Wolf Pack,0,0,2
Bella Hasan,Southern Utah Thunderbirds,0,0,0
Olivia Malafu,Southern Utah Thunderbirds,0,0,7
Vallory Kuelker,Southern Utah Thunderbirds,0,0,0
Treasure Thompson,Wichita State Shockers,0,0,4
Nicole Steiner,Cal State Fullerton Titans,0,0,8
Jana Falsdottir,Cal State Fullerton Titans,0,0,2
Kali Cajala,Chapman Panthers,0,0,2
Layla Woods,Chapman Panthers,0,0,4
Kya Pearson,Cal State Fullerton Titans,0,0,4
Lilliana Petersen,Cal State Fullerton Titans,0,0,0
Cheyenne Banks,Wichita State Shockers,0,0,0
Talia Maxwell,Cal State Fullerton Titans,0,0,3
Ritorya Tamilo,Hawai'i Rainbow Wahine,0,0,3
Bre'Yon White,Wichita State Shockers,0,0,0
Mimi Moon,Cal State Fullerton Titans,0,0,0
Sophie Sene,Utah State Aggies,0,0,2
