#,Full Name,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,Team
1,Kylee Mabry,G,5-11,Sr.,"Kaysville, Utah",,https://gouvu.com/images/2025/9/26/Kylee_ETh2r.jpg?width=146 ,utahvalley
3,Amanda Barcello,G/F,5-11,R-Sr.,"Chandler, Arizona",BYU,https://gouvu.com/images/2025/9/26/Amanda_Barcello_REy7T.jpg?width=146,utahvalley
5,Cambree Blackham,G,5-7,So.,"Lehi, Utah",,https://gouvu.com/images/2025/9/26/Cambree_Blackham_j7ytP.jpg?width=146,utahvalley
10,Saige Gibb,G,5-10,R-Sr.,"Raymond, Alberta, Canada",,https://gouvu.com/images/2025/9/26/Saige_Gibb_g2onZ.jpg?width=146,utahvalley
14,Kaylee Headrick,F,5-10,Sr.,"Bluffdale, Utah",Colorado State,https://gouvu.com/images/2025/9/26/Kaylee_Headrick_ONZQL.jpg?width=146,utahvalley
21,Naia Tanuvasa,G,5-10,So.,"Highland, Utah",BYU,https://gouvu.com/images/2025/9/26/Naia_Tanuvasa_8rWko.jpg?width=146,utahvalley
25,Halle Nelson,G/F,6-1,R-Sr.,"American Fork, Utah",Utah State,https://gouvu.com/images/2025/9/26/Halle_Nelson_8q5Ym.jpg?width=146,utahvalley
34,Tessa Chaney,C,6-3,Sr.,"Saratoga Springs, Utah",,https://gouvu.com/images/2025/9/26/Tessa_Chaney_9U9ym.jpg?width=146,utahvalley
44,Gracie Sorenson,C,6-4,Sr.,"Syracuse, Utah",Eastern Arizona,https://gouvu.com/images/2025/9/26/Gracie_Sorenson_WlPrb.jpg?width=146,utahvalley
0,Brooke Murrell,Forward,6-3,R-So.,"Aurora, Colorado",,https://denverpioneers.com/images/2025/10/7/Murrell.jpg?width=300,denver
3,Tori Baker,Guard,5-7,Fr.,"Highlands Ranch, Colorado",,https://denverpioneers.com/images/2025/10/7/Baker.jpg?width=300,denver
10,Coryn Watts,Guard,5-7,So.,"Aurora, Colorado",,https://denverpioneers.com/images/2025/10/7/Watts.jpg?width=300,denver
11,Karolina Padilla,Guard,5-7,Jr.,"Douglas, Arizona",,https://denverpioneers.com/images/2025/10/7/Padilla.jpg?width=300,denver
12,Laia Monclova,Guard,6-1,Jr.,"Mallorca, Spain",,https://denverpioneers.com/images/2025/10/7/Monclova.jpg?width=300,denver
13,Ana Conde,Center,6-0,So.,"Madrid, Spain",,https://denverpioneers.com/images/2025/10/7/Conde.jpg?width=300,denver
15,Jocelyn Medina,Guard,5-6,Jr.,"Arbuckle, California",,https://denverpioneers.com/images/2025/10/7/Medina.jpg?width=300,denver
32,Lily Esparza,Center,6-2,So.,"Rockford, Illinois",,https://denverpioneers.com/images/2025/10/7/Esparza.jpg?width=300,denver
0,Tahj-Monet Bloom,Forward,6-2,R-Fr.,"Okinawa, Japan",Mississippi State,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-07.jpg?width=300,nevada
1,Ahrray Young,Guard,5-11,R-Jr.,"Sacramento, Calif.",Tulsa,https://nevadawolfpack.com/images/2024/10/31/_1_Ahrray_Young.jpg?width=300,nevada
2,Izzy Sullivan,Guard,5-10,Jr.,"Sammamish, Wash.",,https://nevadawolfpack.com/images/2024/10/31/_2_Izzy_Sullivan.jpg?width=300,nevada
3,Imbie Jones,Forward,6-2,Jr.,"Seattle, Wash.",Wisconsin,https://nevadawolfpack.com/images/2024/10/31/_3_Imbie_Jones.jpg?width=300,nevada
4,Gabby Ramos,Guard,5-10,Fr.,"Clovis, Calif.",,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-11.jpg?width=300,nevada
10,Chloe Williams,Forward,6-3,Sr.,"Los Angeles, Calif.","Indiana State",https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-09.jpg?width=300,nevada
11,Britain Backus,Point Guard,5-7,Fr.,"Winnemucca, Nev.",,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-10.jpg?width=300,nevada
13,Amelia Raidaveta,Forward,6-2,R-Jr.,"Dubbo, New South Wales, Australia","Weber State",https://nevadawolfpack.comimages/2024/10/31/_13_Amelia_Raidaveta.jpg?width=300,nevada
23,Makayla Carter,Forward,6-2,Fr.,"Tucson, Ariz.",,https://nevadawolfpack.com//images/2025/9/11/wbb_headshots_MM_091025-06.jpg?width=300,nevada
24,Skylar Durley,Guard,5-9,Fr.,"Oklahoma City, Okla.",,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-05.jpg?width=300,nevada
34,Kendra Hicks,Forward,6-1,So.,"Portland, Ore.",,https://nevadawolfpack.com/images/2024/10/31/_34_Kendra_Hicks.jpg?width=300,nevada
1,Kira-May Filemu,G,5-11,So.,"Wattle Grove, New South Wales, Australia",,https://hawaiiathletics.com/images/2025/10/16/Filemu__Kira-May25_8411_xuC2b.JPG?width=146,hawaii
2,Teyahna Bond,G,5-8,Fr.,"Cairns, Australia",,https://hawaiiathletics.com/images/2025/10/16/Bond__Teyahna25_8065_NET1o.JPG?width=146,hawaii
3,Bailey Flavell,G,5-10,Fr.,"Auckland, New Zealand",,https://hawaiiathletics.com/images/2025/10/16/Flavell__Bailey25_7613_ZgF4m.JPG?width=146,hawaii
6,Kyra Webb,G,6-1,Fr.,"Melbourne, Australia",,https://hawaiiathletics.com/images/2025/10/16/Webb__Kyra25_7559_88EOg.JPG?width=146,hawaii
7,Ella Collins,G,5-8,Fr.,"Auckland, New Zealand",,https://hawaiiathletics.com/images/2025/10/16/Collins__Ella25_7495_HKAls.JPG?width=146,hawaii
8,Rebecca Moors,F,6-2,So.,"Sydney, Australia",,https://hawaiiathletics.com/images/2025/10/16/Moors__Rebecca25_8235_d2F1t.JPG?width=146,hawaii
10,Danijela Kujovic,F,6-1,Rf.,"Podgorica, Montenegro",,https://hawaiiathletics.com/images/2025/10/16/Kujovic__Danijela25_8348_oF4xu.JPG?width=146,hawaii
11,Keiara Curtis,G,5-8,Fr.,"Phoenix, Arizona",,https://hawaiiathletics.com/images/2025/10/16/Curtis__Keiara25_8014_VtB0Z.JPG?width=146,hawaii
12,Imani Perez,F,6-4,Sr.,"San Diego, California",,https://hawaiiathletics.com/images/2025/10/16/Perez__Imani25_8286_1vGfw.JPG?width=146,hawaii
20,Izzy Forsyth,G,6-0,Sr.,"Perth, Australia",UC San Diego,https://hawaiiathletics.com/images/2025/10/16/Forsyth__Izzy25_7789_MqPWa.JPG?width=146,hawaii
22,Jade Peacock,G,6-0,Jr.,"Gold Coast, Australia",,https://hawaiiathletics.com/images/2025/10/16/Peacock__Jade25_7961_9x7TF.JPG?width=146,hawaii
24,Ritorya Tamilo,C,6-5,So.,"Auckland, New Zealand",,https://hawaiiathletics.com/images/2025/10/16/Tamilo__Ritorya25_7707_yU2nA.JPG?width=146,hawaii
33,Saniyah Neverson,F,6-0,Sr.,"Oakland, California",Northern Arizona,https://hawaiiathletics.com/images/2025/10/16/Neverson__Saniyah25_7834_ZtuVz.JPG?width=146,hawaii
1,Kacey Spink,G,5-9,Sr.,"Spokane, WA",Ferris HS,,idahostate
2,Aspen Caldwell,G,5-7,Jr.,"Idaho Falls, Idaho","Utah Valley University",,idahostate
4,Alyse Aby,G,5-11,Jr.,"Laurel, Montana","Laurel HS",,idahostate
5,Tasia Jordan,G,5-8,Gr.,"Melrose Park, Illinois","Kirkwood CC",,idahostate
12,Mackenzie Marenchin,F,6-2,So.,"Windsor, Canada","Lincoln Prep School",,idahostate
13,Asa Wolfram,F,6-2,Fr.,"Hveragerdi, Iceland","Athena W",,idahostate
14,Piper Carlson,F,6-1,Jr.,"Albertville, Minnesota","Albertville HS",,idahostate
18,Maeva Gauffrenet,G,5-8,Fr.,"Toucy, France",,,idahostate
22,Sophia Covello,G,5-9,R-Sr.,"Roseville, California","Woodcreek HS",,idahostate
0,Nicole Steiner,F,6-2,Fr.,"Los Gatos, Calif.",,,fullerton
1,Mimi Moon,G,5-7,Fr.,"Oxnard, Calif.",,,fullerton
3,Maddy Tauro,G,5-8,So.,"Calabasas, Calif.",,,fullerton
4,Jana Falsdottir,G,5-6,So.,"Keflavik Iceland",,,fullerton
5,Maxine Sutisna,G,5-10,Fr.,"Jakarta, Indonesia",,,fullerton
10,Dylan Swindle,G,5-7,Fr.,"Laveen, Arizona",,,fullerton
22,Madelynn Muniz,G,5-10,R-So.,"Phoenix, Arizona","University of Idaho",,fullerton
23,Talia Maxwell,F,6-3,Jr.,"Fresno, Calif.","Stanislaus State University",,fullerton
33,Kya Pearson,G,5-9,Gr.,"Oakland, Calif.","Cal State University Dominguez Hills / Universidad",,fullerton
55,Cristina Jones,F,5-10,So.,"Long Beach, Calif.","Cal State University Dominguez Hills",,fullerton
0,Rachel Wilson,F,"6' 2"",Sr.,"Carrollton, Georgia",,,utahstate
1,Marina Asensio,G,"5' 8"",Sr.,"Sabadell, Spain",,,utahstate
3,Aaliyah Gayles,G,"5' 9"",Jr.,"Las Vegas, Nevada",,,utahstate
8,Aitana Rosello Lopez,G,"5' 9"",Fr.,"Castellón de la Plana, Spain",,,utahstate
9,Paloma Munoz Herreros,G,"6' 1"",Fr.,"Málaga, Spain",,,utahstate
12,Bella Cosme,G,"5' 5"",Fr.,"Eastvale, California",,,utahstate
13,Andjela Marojevic,F,"5' 10"",So.,"Vrbas, Serbia",,,utahstate
15,Karyn Sanford,G,"6' 0"",Sr.,"Bergen, Norway",,,utahstate
23,Elise Livingston,G,"5' 9"",So.,"Millville, Utah",,,utahstate
32,Jamisyn Heaton,G/F,"5' 10"",Sr.,"Lehi, Utah",,,utahstate
55,Sophie Sene,F/C,"6' 3"",Sr.,"Nice, France",,,utahstate
1,Kyleigh Ortiz,G,5-6,R-Jr.,"Kansas, Okla.",Coffeyville CC,,wichitastate
2,Abby Cater,G,5-7,Gr.,"PG County, Md.","Trinity Valley CC/Austin Peay",,wichitastate
4,Jaila Harding,G,5-8,Gr.,"Wichita, Kan.",New Mexico State,,wichitastate
5,Diamond Richardson,G,5-7,Gr.,"Sacramento, Calif.",Langston,,wichitastate
8,Bella Belong,F,6-2,Jr.,"Yaounde, Cameroon","South Plains College",,wichitastate
11,Jaida McDonald,F,5-11,Jr.,"Dallas, Texas","Pensacola State College",,wichitastate
12,Bre'Yon White,F,5-11,Gr.,"Pearland, Texas","Oklahoma / TCU",,wichitastate
14,Taya Davis,G,5-7,Gr.,"Decatur, Ill.",Fordham,,wichitastate
21,Treasure Thompson,F,6-2,Gr.,"Joliet, Ill.","LSU/Eastern Michigan/Texas Southern",,wichitastate
24,Maimouna Sissoko,F,6-3,Sr.,"Bamako, Mali","Cloud County CC",,wichitastate
42,Cheyenne Banks,C,6-4,Gr.,"McLoud, Okla.","Central Arkansas",,wichitastate
77,Sophie Benharouga,F,6-2,Gr.,"Grenoble, France","Hartford / Morehead State / North Texas / Seattle",,wichitastate
0,Maya Davis,G/F,"5' 11''",So.,"Seattle, WA",,,weberstate
7,Antoniette Emma-Nnopu,F,"5' 11''",Sr.,"Geelong, Victoria, Australia","UNCG",,weberstate
8,Hannah Robbins,G,"6' 0''",Jr.,"Phoenix, AZ","Montana State",,weberstate
10,Paris Lauro,F,"6' 0''",Jr.,"Dallas, TX","New Mexico",,weberstate
13,Makenna Shaffer-Lauer,G,"6' 1''",Jr.,"Greeley, CO","University at Buffalo",,weberstate
22,Sydney White,G,"5' 9''",Jr.,"Centennial, CO","California Baptist",,weberstate
25,Nicole Willardson,F,"6' 4''",Jr.,"Richfield, UT","Utah Tech",,weberstate
1,Kortney Doman,G,5-10,So.,"Crane, Oregon",,,southernutah
2,Bella Hasan,G,5-6,So.,"Mukilteo, Washington",,,southernutah
3,Sierra Chambers,G,5-8,So.,"Danville, CA",,,southernutah
4,Brooklyn Fely,F,6-0,Jr.,"Orem, Utah","Umpqua Community College",,southernutah
5,Charli Kay,G,5-9,Jr.,"Smithton, Tasmania",,,southernutah
11,Morgan Trigueiro,G,5-10,Jr.,"Caruthers, California","College of Sequoias",,southernutah
13,Ashley Banks,C,6-5,Sr.,"Boise, Idaho",,,southernutah
22,Devyn Kiernan,G,5-11,Fr.,"Orange, California",,,southernutah
34,Denver Anderson,F,6-1,So.,"Mt Zion, Illinois",,,southernutah
35,Olivia Malafu,F,6-0,So.,"Kapa'a, Hawaii",,,southernutah
44,Ava Uhrich,F,6-0,Jr.,"Burlingame, CA",,,southernutah
5,Emerson Ludwick,F,6-2,So.,"Seattle, Wash.",,,chapman
11,Kira Watanabe,PG,5-0,So.,"Irvine, Calif.",,,chapman
14,Aidan Sherfey,F,5-10,Sr.,"Whittier, Calif.",,,chapman
20,Trinity Barretto,G,5-3,Sr.,"Mililani, Hawaii",,,chapman
21,Kali Cajala,F,5-8,Sr.,"Oceanside, Calif.",,,chapman
23,Maile Nakaji,G,5-5,Jr.,"Redondo Beach, Calif.",,,chapman
24,Jemma Lacap,G,5-7,So.,"San Francisco, Calif.",,,chapman
25,Layla Woods,F,5-10,Jr.,"San Jose, Calif",,,chapman
33,Makena Nitao,G,5-5,Jr.,"Foster City, Calif.",,,chapman
