,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,Big East,,1,15,0,89.7,52.2,37.47,,15.43,,30.72,22.18,52.90,131.10,61.58,69.52
2,UCLA,Big Ten,,4,14,1,87.3,56.3,31.00,,16.97,,27.66,20.31,47.97,132.97,68.25,64.72
3,South Carolina,SEC,,3,15,1,91.1,53.9,37.13,,10.16,,29.78,17.50,47.28,127.28,66.48,60.81
4,Louisiana State,SEC,,5,14,2,103.2,55.1,48.06,,-2.10,,35.95,10.01,45.96,124.84,71.55,53.29
5,Texas,SEC,,2,17,0,91.6,53.2,38.41,,7.08,,28.00,17.49,45.49,125.12,67.05,58.08
6,Michigan,Big Ten,,6,11,2,89.3,56.8,32.46,,8.92,,26.07,15.31,41.38,116.98,65.75,51.23
7,Oklahoma,SEC,,8,14,1,94.5,59.6,34.93,,3.68,,29.80,8.81,38.61,113.65,69.16,44.49
8,Louisville,ACC,,13,14,3,83.1,58.4,24.71,,10.39,,21.63,13.47,35.09,119.41,73.67,45.74
9,Iowa,Big Ten,,14,12,2,83.6,61.9,21.71,,13.11,,21.91,12.92,34.83,116.95,72.47,44.48
10,TCU,Big 12,,8,14,1,85.8,51.9,33.93,,0.10,,19.24,14.80,34.04,115.04,71.32,43.72
11,Michigan State,Big Ten,,24,14,1,89.1,56.1,33.07,,0.48,,22.74,10.81,33.54,120.83,77.44,43.39
12,Kentucky,SEC,,11,15,1,80.9,52.1,28.81,,4.52,,16.09,17.25,33.33,118.07,72.25,45.81
13,Maryland,Big Ten,,7,15,1,87.6,55.8,31.88,,1.33,,23.41,9.80,33.21,116.50,73.24,43.26
14,Nebraska,Big Ten,,20,13,2,86.3,60.1,26.20,,6.01,,21.16,11.05,32.21,120.81,78.16,42.65
15,Duke,ACC,,,9,6,74.4,61.6,12.80,,18.74,,15.88,15.67,31.54,110.67,70.31,40.37
16,Vanderbilt,SEC,,12,15,0,85.7,55.6,30.07,,1.22,,19.36,11.92,31.28,116.88,76.40,40.48
17,West Virginia,Big 12,,,13,2,80.7,56.3,24.47,,6.49,,17.58,13.38,30.96,113.05,73.68,39.37
18,Minnesota,Big Ten,,,10,3,78.2,49.9,28.31,,2.37,,13.18,17.50,30.68,111.98,69.05,42.93
19,Tennessee,SEC,,23,10,3,80.3,59.8,20.54,,9.72,,20.27,9.99,30.26,110.19,72.04,38.15
20,Southern California,Big Ten,,17,10,4,69.1,56.9,12.21,,17.82,,10.48,19.56,30.04,105.53,65.48,40.05
21,NC State,ACC,,,11,4,76.1,63.4,12.73,,16.83,,17.67,11.89,29.56,111.08,73.60,37.47
22,North Carolina,ACC,,16,13,4,79.5,57.7,21.76,,6.90,,16.60,12.06,28.67,111.76,74.42,37.34
23,Iowa State,Big 12,,10,14,1,89.5,60.3,29.20,,-0.60,,24.60,3.99,28.60,123.32,85.65,37.67
24,Notre Dame,ACC,,18,10,4,84.9,63.2,21.71,,6.31,,21.12,6.91,28.03,113.23,79.37,33.86
25,Oregon,Big Ten,,,13,3,78.7,58.6,20.06,,7.91,,16.02,11.95,27.97,108.30,72.12,36.19
26,Ohio State,Big Ten,,19,13,2,85.1,60.0,25.07,,2.89,,20.12,7.84,27.96,107.10,74.57,32.54
27,Mississippi,SEC,,15,14,3,78.6,53.5,25.12,,2.72,,13.60,14.25,27.84,110.07,74.28,35.79
28,Texas Tech,Big 12,,21,16,0,76.1,52.1,24.06,,3.46,,12.46,15.07,27.53,107.34,71.49,35.84
29,Oklahoma State,Big 12,,,13,3,91.4,60.6,30.75,,-1.60,,21.78,4.75,26.53,119.32,86.16,33.16
30,Baylor,Big 12,,22,13,3,74.2,56.8,17.44,,8.52,,11.18,14.78,25.96,103.88,69.89,33.98
31,Alabama,SEC,,,15,1,74.0,52.6,21.38,,4.00,,10.51,14.86,25.37,109.11,74.45,34.65
32,Washington,Big Ten,,,12,2,73.8,54.4,19.43,,5.12,,10.76,13.79,24.55,109.93,76.48,33.44
33,Illinois,Big Ten,,,13,2,80.1,59.2,20.87,,2.95,,12.30,11.52,23.82,108.07,77.47,30.59
34,Stanford,ACC,,,13,3,71.4,56.9,14.50,,8.74,,9.69,13.55,23.24,106.28,74.76,31.52
35,Villanova,Big East,,,12,3,75.1,60.6,14.53,,8.28,,12.36,10.45,22.81,108.36,78.45,29.92
36,Mississippi State,SEC,,,14,2,80.3,56.3,23.94,,-1.46,,13.69,8.79,22.48,108.31,79.46,28.86
37,Virginia,ACC,,,12,3,79.3,57.6,21.67,,-0.27,,12.91,8.48,21.39,111.14,81.93,29.21
38,Georgia,SEC,,,15,1,79.0,53.6,25.38,,-5.05,,11.14,9.19,20.33,107.75,80.72,27.03
39,Syracuse,ACC,,,13,2,74.8,56.9,17.87,,1.39,,10.48,8.78,19.26,102.13,78.41,23.72
40,Miami (FL),ACC,,,10,5,72.9,61.1,11.80,,7.22,,10.54,8.48,19.02,105.10,81.32,23.78
41,Utah,Big 12,,,11,4,71.9,61.7,10.20,,9.55,,8.97,9.65,18.62,102.06,78.19,23.87
42,Princeton,Ivy,,25,13,1,75.8,66.9,8.86,,9.43,,13.54,4.75,18.29,112.30,88.49,23.82
43,Brigham Young,Big 12,,,13,2,72.9,57.9,15.00,,2.71,,8.33,9.39,17.71,97.93,77.01,20.93
44,Seton Hall,Big East,,,10,5,72.1,63.1,8.93,,8.50,,10.21,7.22,17.43,103.95,81.74,22.20
45,Clemson,ACC,,,11,5,70.3,55.6,14.75,,1.78,,4.94,11.59,16.53,108.25,84.65,23.60
46,Virginia Tech,ACC,,,11,5,73.9,58.9,15.00,,1.46,,8.29,8.18,16.46,99.16,79.37,19.79
47,Kansas State,Big 12,,,8,8,70.1,64.9,5.25,,11.11,,9.01,7.35,16.36,103.07,83.14,19.93
48,Arizona State,Big 12,,,15,1,69.6,56.9,12.63,,3.34,,5.20,10.77,15.97,98.14,77.83,20.31
49,California,ACC,,,9,7,67.9,60.8,7.13,,8.75,,5.97,9.90,15.88,102.08,82.03,20.06
50,Florida,SEC,,,12,5,76.2,60.2,16.00,,-0.30,,7.97,7.73,15.70,98.81,79.74,19.07
51,Colorado,Big 12,,,11,4,70.9,59.5,11.40,,3.92,,6.11,9.22,15.32,99.79,80.36,19.43
52,James Madison,Sun Belt,,,11,5,73.7,64.4,9.25,,5.89,,9.05,6.09,15.14,100.27,80.97,19.30
53,South Dakota State,Summit,,,12,4,72.6,65.6,6.94,,7.91,,8.74,6.11,14.85,104.11,85.34,18.77
54,Fairfield,MAAC,,,11,3,80.0,63.3,16.71,,-1.89,,13.04,1.79,14.83,110.19,90.87,19.32
55,Richmond,A-10,,,12,4,71.9,61.8,10.13,,4.67,,8.07,6.73,14.80,107.59,88.16,19.43
56,Davidson,A-10,,,11,5,70.1,58.5,11.56,,3.07,,5.85,8.78,14.63,102.11,82.94,19.17
57,Marquette,Big East,,,10,5,72.8,62.3,10.47,,6.48,,8.10,6.52,14.62,103.43,84.29,19.14
58,Kansas,Big 12,,,11,4,75.1,63.3,11.87,,6.46,,8.75,5.56,14.32,103.20,84.69,18.51
59,Indiana,Big Ten,,,11,5,72.3,65.6,6.69,,7.46,,9.29,4.86,14.15,106.06,88.19,17.86
60,Rhode Island,A-10,,,12,2,69.4,54.0,15.43,,1.27,,4.05,9.52,13.57,101.57,83.74,17.83
61,North Dakota State,Summit,,,13,2,79.3,60.6,18.67,,-1.75,,10.44,3.05,13.49,106.15,87.88,18.27
62,Texas A&M,SEC,,,7,4,68.2,61.3,6.91,,5.75,,4.22,8.45,12.66,94.26,79.01,15.25
63,Santa Clara,WCC,,,13,4,81.9,63.7,18.18,,0.97,,13.77,-1.41,12.37,102.02,87.03,14.99
64,Purdue,Big Ten,,,8,7,71.7,66.2,5.53,,6.76,,8.90,3.39,12.29,104.47,88.86,15.60
65,Colorado State,MWC,,,13,2,69.3,54.1,15.13,,-0.72,,2.93,9.34,12.28,102.09,85.51,16.58
66,South Florida,American,,,8,7,69.6,72.1,-2.47,,14.52,,8.74,3.32,12.06,102.23,88.02,14.20
67,Auburn,SEC,,,11,5,65.2,56.3,8.94,,2.73,,1.69,9.97,11.66,96.26,81.65,14.61
68,Saint Joseph's,A-10,,,11,3,72.3,56.5,15.79,,0.76,,3.15,8.28,11.43,100.87,85.60,15.27
69,Troy,Sun Belt,,,11,3,85.6,68.4,17.29,,-1.87,,13.83,-2.46,11.37,97.53,85.79,11.74
70,Gonzaga,WCC,,,11,6,71.6,65.6,5.94,,5.35,,7.59,3.71,11.30,102.01,87.64,14.37
71,Columbia,Ivy,,,9,5,71.6,64.1,7.50,,3.79,,9.17,2.12,11.29,102.03,88.82,13.20
72,Missouri,SEC,,,12,5,75.1,69.6,5.47,,5.61,,10.72,0.36,11.08,103.75,90.54,13.21
73,Penn State,Big Ten,,,7,8,76.1,78.5,-2.40,,13.38,,16.34,-5.36,10.98,104.10,90.69,13.41
74,Wisconsin,Big Ten,,,11,4,71.9,66.3,5.67,,5.18,,7.84,3.01,10.85,102.70,88.54,14.16
75,George Mason,A-10,,,8,6,71.8,65.0,6.79,,4.04,,6.47,4.35,10.82,97.33,83.43,13.90
76,Florida State,ACC,,,5,11,76.0,78.1,-2.13,,12.17,,14.80,-4.75,10.05,100.62,89.63,10.99
77,Oregon State,WCC,,,11,5,67.1,61.6,5.50,,7.57,,4.12,5.66,9.79,101.29,88.89,12.40
78,Harvard,Ivy,,,8,6,65.1,59.9,5.14,,4.25,,2.05,7.35,9.40,95.50,83.79,11.71
79,Montana State,Big Sky,,,9,4,75.3,64.9,10.38,,5.39,,8.70,0.69,9.39,96.27,85.39,10.88
80,San Diego State,MWC,,,10,3,69.5,58.8,10.69,,2.80,,1.69,7.69,9.38,97.41,85.06,12.34
81,UC Irvine,Big West,,,13,2,73.2,57.7,15.53,,-6.47,,5.20,3.86,9.06,100.40,89.16,11.24
82,Belmont,MVC,,,8,7,68.3,67.9,0.33,,8.67,,5.89,3.12,9.01,98.11,87.76,10.35
83,Creighton,Big East,,,7,8,69.9,67.1,2.73,,6.21,,6.03,2.91,8.94,99.76,88.60,11.16
84,Nevada-Las Vegas,MWC,,,9,5,67.0,63.6,3.36,,5.40,,5.19,3.57,8.76,101.58,90.55,11.03
85,Georgetown,Big East,,,8,6,68.9,61.6,7.29,,1.31,,4.31,4.28,8.59,96.60,86.47,10.13
86,Massachusetts,MAC,,,10,2,69.5,55.4,14.08,,-5.53,,1.65,6.91,8.56,93.10,82.91,10.20
87,Rice,American,,,12,3,69.0,58.9,10.07,,-1.62,,2.87,5.57,8.45,94.15,83.88,10.27
88,Georgia Tech,ACC,,,7,9,68.3,66.8,1.50,,6.78,,5.02,3.26,8.28,93.63,84.07,9.57
89,Green Bay,Horizon,,,11,5,66.4,57.3,9.13,,1.02,,0.54,7.01,7.55,94.30,84.84,9.47
90,Marshall,Sun Belt,,,13,3,72.9,57.5,15.38,,-0.22,,3.05,4.37,7.42,95.41,86.45,8.96
91,Ball State,MAC,,,11,4,77.2,64.3,12.93,,-0.47,,7.23,0.10,7.32,95.84,88.22,7.62
92,New Mexico,MWC,,,11,4,72.3,61.4,10.87,,-3.71,,3.53,3.63,7.16,93.25,85.65,7.60
93,Arkansas,SEC,,,11,6,76.2,69.8,6.47,,0.65,,9.88,-2.77,7.12,96.36,89.24,7.12
