"#","Full Name","Pos.","Ht.","Academic Year","Hometown / High School"
"0","Brooke Murrell","Forward","6-3","R-So.","Aurora, Colorado / Thomas Jefferson H.S"
"1","Laila McLeod","Forward","6-0","Sr.","Dallas, Texas / Bella Vista College Prep"
"2","Lexi Pletschette","Guard","5-9","Jr.","Livermore, California / Granada H.S."
"3","Tori Baker","Guard","5-7","Fr.","Highlands Ranch, Colorado / Highlands Ranch H.S."
"5","Anna Rosenberger","Center","6-3","So.","Glenview, Illinois / Glenbrook South H.S."
"8","Natalia Fanjul","Forward","5-10","Fr.","Altafulla, Spain / Socrates Educa International School"
"9","Teodora Simoncevic","","6-2","Fr.","Ivanjica, Serbia / Gimnazija"
"10","Coryn Watts","Guard","5-7","So.","Aurora, Colorado / Regis Jesuit H.S."
"11","Karolina Padilla","Guard","5-7","Jr.","Douglas, Arizona / Douglas H.S."
"12","Laia Monclova","Guard","6-1","Jr.","Mallorca, Spain / Fuente de San Luis"
"13","Ana Conde","Center","6-0","So.","Madrid, Spain / IES Excelencia Deportiva"
"15","Jocelyn Medina","Guard","5-6","Jr.","Arbuckle, California / Pierce H.S."
"22","Paula Oliva","Guard","6-0","Fr.","Salamanca, Spain / Col. Maria Auxiliadora"
"32","Lily Esparza","Center","6-2","So.","Rockford, Illinois / Boylan Catholic H.S."
