"Image","#","Full Name","Pos.","Year","Ht.","Hometown/Previous School"
"","1","Kacey Spink","G","Sr.","5-9","Spokane, WA / Ferris HS"
"","2","Aspen Caldwell","G","Jr.","5-7","Idaho Falls, Idaho / Utah Valley University"
"","3","Cam Collman","G","R-Sr.","5-8","La Grande, OR / University of Portland"
"","4","Alyse Aby","G","Jr.","5-11","Laurel, Montana / Laurel HS"
"","5","Tasia Jordan","G","Gr.","5-8","Melrose Park, Illinois / Kirkwood CC"
"","7","Molly Hays","G","So.","5-8","Cody, WY / Cody HS"
"","8","Tariah Carter","G","Fr.","5-11","Melba, Idaho / Melba High School"
"","11","Milena Sucacuexe","G/F","Fr.","6-2","Barreiro, Portugal / Gdessa Barreiro W"
"","12","Mackenzie Marenchin","F","So.","6-2","Windsor, Canada / Lincoln Prep School"
"","13","Asa Wolfram","F","Fr.","6-2","Hveragerdi, Iceland / Athena W"
"","14","Piper Carlson","F","Jr.","6-1","Albertville, Minnesota / Albertville HS"
"","18","Maeva Gauffrenet","G","Fr.","5-8","Toucy, France / "
"","20","Aurora Elder","F","So.","6-3","Perris, CA / Sage Hill HS"
"","22","Sophia Covello","G","R-Sr.","5-9","Roseville, California / Woodcreek HS"
"","23","Tylie Jones","G","Sr.","6-0","Rigby, Idaho / New Mexico State"
"","24","Halle Wright","F","Sr.","6-0","Prosser, WA / Prosser HS"
