"#","Name","Yr.","Pos.","Ht.","Hometown","Previous School","High School"
"0","Tahj-Monet Bloom","R-Fr.","Forward","6-2","Okinawa, Japan","Mississippi State","DME Academy"
"1","Ahrray Young","R-Jr.","Guard","5-11","Sacramento, Calif.","Tulsa","Laguna Creek HS"
"2","Izzy Sullivan","Jr.","Guard","5-10","Sammamish, Wash.","","Eastside Catholic HS"
"3","Imbie Jones","Jr.","Forward","6-2","Seattle, Wash.","Wisconsin","Garfield HS"
"4","Gabby Ramos","Fr.","Guard","5-10","Clovis, Calif.","","Clovis East High School"
"8","Olivia Poulivaati","R-So.","Forward ","6-0","Tualatin, Ore.","","Tualatin HS"
"9","Hanna Jolinder","Fr.","Guard","6-0","Stockholm, Sweden","Alvik Basketball Club",""
"10","Chloe Williams","Sr.","Forward","6-3","Los Angeles, Calif.","Indiana State","Bishop Montgomery HS"
"11","Britain Backus","Fr.","Point Guard","5-7","Winnemucca, Nev.","","Albert M. Lowry HS"
"12","Cheyenne McEvans","Gr.","Guard","5-9","Detroit, Mich.","Florida A&M","Southfield A&T HS"
"13","Amelia Raidaveta","R-Jr.","Forward","6-2","Dubbo, New South Wales, Australia","Weber State",""
"14","Maia Rosarion","So.","Forward","5-10","Vancouver, B.C.","Morehead State","Kitsilano Secondary School"
"23","Makayla Carter","Fr.","Forward","6-2","Tucson, Ariz.","","Mountain View HS"
"24","Skylar Durley","Fr.","Guard","5-9","Oklahoma City, Okla.","","Edmond North HS"
"34","Kendra Hicks","So.","Forward","6-1","Portland, Ore.","","Jesuit HS"
"35","Elle Motherway","Jr.","Guard","5-11","Reno, Nev.","","Bishop Manogue HS"
