"#","Name","Ht.","Pos.","Year","Hometown / High School","Previous School"
"1","Kylee Mabry","5-11","G","Sr.","Kaysville, Utah / Davis HS",""
"2","Anna Shreeve","5-8","G","Fr.","Ladera Ranch, California / San Juan Hills HS",""
"3","Amanda Barcello","5-11","G/F","R-Sr.","Chandler, Arizona / Seton Catholic HS","BYU"
"4","KJ Carlyle","6-2","G/F","So.","Cedar Park, Texas / Cedar Park HS",""
"5","Cambree Blackham","5-7","G","So.","Lehi, Utah / Skyridge HS",""
"10","Saige Gibb","5-10","G","R-Sr.","Raymond, Alberta, Canada / Timpview HS",""
"12","Gaby Goo","6-0","F","So.","Orem, Utah / Orem HS","USU-Eastern"
"14","Kaylee Headrick","5-10","F","Sr.","Bluffdale, Utah / Westlake HS","Colorado State"
"15","Evie Leeson","6-2","F/C","Fr.","Christchurch, New Zealand / St Margaret's College","Alaska Anchorage"
"21","Naia Tanuvasa","5-10","G","So.","Highland, Utah / Lone Peak HS","BYU"
"25","Halle Nelson","6-1","G/F","R-Sr.","American Fork, Utah / American Fork HS","Utah State"
"34","Tessa Chaney","6-3","C","Sr.","Saratoga Springs, Utah / Westlake HS",""
"44","Gracie Sorenson","6-4","C","Sr.","Syracuse, Utah / Syracuse HS","Eastern Arizona"
